312,20110
488,33673
133,44697
249,34003
374,23747
287,41087
386,22371
522,37863
641,35666
342,29601
123,21504
449,28966
919,46983
415,32100
408,29185
413,20786
283,47431
144,28049
809,47964
228,36107
227,22926
954,43265
632,34663
523,41868
88,38039
702,36535
417,21552
435,25346
99,39806
686,41007
187,34094
707,35141
828,22114
841,26046
361,24579
26,36866
87,40625
104,39399
5,44388
836,22664
674,45824
38,23170
542,38660
82,47151
105,31827
607,27347
929,39904
741,25548
804,42370
825,22195
839,36258
288,25224
394,25651
552,30607
47,34761
533,25965
364,45304
573,49584
392,48966
670,28096
365,47869
491,21217
818,46507
474,48359
827,35791
646,37151
776,44519
405,32142
794,30224
585,31708
700,43914
965,38908
662,46604
14,39085
846,43086
330,32565
642,33192
45,30738
119,31413
643,39741
816,41174
246,25410
708,21197
529,46081
351,46646
162,35244
989,46895
304,36419
502,42157
50,24346
261,37351
844,41568
971,39162
655,36674
866,26398
3,27232
902,43221
935,48635
269,21359
833,32206
202,46775
964,32054
260,37011
747,48466
232,44693
292,25479
134,21148
943,25399
948,48431
766,33831
744,43175
196,44121
787,31082
418,46484
845,39010
811,49204
771,48708
481,40300
455,28851
446,32483
277,30415
343,31510
772,26245
217,45651
299,21999
719,31917
832,22627
193,27729
985,35740
161,36011
259,21383
503,26880
309,30498
286,23384
10,38268
959,22294
325,34907
31,43613
819,43852
305,45233
291,42236
726,26533
262,34196
940,34389
862,37333
854,20767
467,40817
619,40955
194,49988
211,23434
718,45510
233,25244
226,42221
810,20363
412,42176
586,43552
378,37990
974,32493
147,33491
933,39344
27,31297
727,27871
977,37884
298,22383
513,38346
120,36480
878,36232
319,32869
731,43040
763,20036
799,33854
527,39627
201,46090
849,39592
550,34912
716,37359
479,27721
996,45572
705,20291
781,22063
101,29273
460,37545
668,46196
156,25722
311,20065
281,39613
913,22786
153,45819
966,21150
303,44681
596,45804
179,46300
256,35277
301,23330
861,46684
238,34146
915,32059
506,34873
231,32812
539,23699
322,25104
22,39310
790,49689
851,26416
42,41654
694,40787
538,25426
24,48723
803,26862
956,47862
199,37612
511,47028
237,47416
856,44556
847,20673
106,20087
439,47969
558,29243
135,44445
317,38812
620,35739
499,26249
66,39979
587,37648
614,33529
454,41940
859,46670
535,49558
893,43405
323,20352
124,25158
464,39965
395,44270
427,44158
142,21226
223,28933
881,36621
712,30209
345,45029
798,24666
141,36770
113,23347
695,43587
564,36949
521,41418
730,38323
520,43067
338,49113
912,23077
57,35945
749,36611
20,45807
610,49334
437,34674
599,28969
383,28854
23,41999
9,21699
58,34466
507,37937
181,26689
972,41208
868,38663
654,32854
48,31274
248,25036
736,43081
636,49402
603,24982
36,48553
354,46998
906,32293
689,32736
149,42461
911,42246
79,40070
362,30820
406,31747
337,32970
528,40350
215,26566
882,49681
221,33145
593,24377
509,27311
796,40330
404,22588
469,42806
715,49844
988,39685
605,32126
94,28989
672,30396
512,35543
236,25849
77,40329
478,42438
840,27634
266,49282
934,47708
745,21371
190,24553
434,34994
482,24756
824,27529
939,24200
11,34313
852,23719
280,44418
